Product,Category,Regular Price,Discounted Price,Code,Material
MENS LS SHIRT-WHITE-SKY BLUE AOP,Men's Collection,"1,690.00",NO Discount,ST-SHT-TM22-02SS-0024,100% COTTON
MENS WALLET-BLACK/CHOCOLATE,Men's Collection,990.00,NO Discount,MR-WALL-TM22-05F-0001,LEATHER WALLET
MENS WALLET-BROWN 1,Men's Collection,890.00,NO Discount,MR-WALL-TM22-05F-0003,LEATHER WALLET
MENS WALLET-BLACK MAT,Men's Collection,"1,090.00",NO Discount,MR-WALL-TM22-05F-0005,LEATHER WALLET
MENS PANJABI-NAVY 1,Men's Collection,"2,690.00",NO Discount,NA-PANB-TM22-05F-63,BLENDED
MENS PANJABI-PARSILAN BLUE,Men's Collection,"2,690.00",NO Discount,NA-PANB-TM22-05F-63,BLENDED
MENS PANJABI-BROWN 1,Men's Collection,"3,490.00",NO Discount,NA-PANK-TM22-05F-81,COTTON
MENS BASIC PANJABI-BLACK 1,Men's Collection,"2,690.00",NO Discount,PH-PANB-TM22-05F-16149,BLENDED
MENS KARCHUPI PANJABI- BEIGE,Men's Collection,"2,490.00",NO Discount,HN-PANK-TM22-05F-101,100% COTTON
MENS BASIC PANJABI-LIGHT GREEN,Men's Collection,"1,790.00",NO Discount,HN-PANB-TM22-05F-102,COTTON
MENS PANJABI-PEAST,Men's Collection,"2,490.00",NO Discount,NA-PANB-TM22-05F-62,100% COTTON
MENS KABLI-BLACK 1,Men's Collection,"3,490.00",NO Discount,PH-KAB-TM22-05F-49,100% COTTON
MENS BASIC PANJABI-GREEN 1,Men's Collection,"1,890.00",NO Discount,PH-PANB-TM22-05F-16584,COTTON
MENS BASIC PANJABI-WHITE YELLOW PRINT,Men's Collection,"1,590.00",NO Discount,SN-PANB-TM22-05F-09,100% COTTON
MENS FORMAL SHIRT-WHITE PERPLE,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS SHOES-CAMEL BROWN,Men's Collection,"2,190.00",NO Discount,MR-SHO-TM22-05F-1203,LEATHER
MENS SHOES-BLACK 1,Men's Collection,"2,290.00",NO Discount,MR-SHO-TM22-05F-1204,LEATHER
MENS SHOES-BROWN 1,Men's Collection,"2,290.00",NO Discount,MR-SHO-TM22-05F-1204,LEATHER
MENS SHOES-BLACK 1,Men's Collection,"2,190.00",NO Discount,MR-SHO-TM22-05F-1203,LEATHER
MENS T-SHIRT-BLACK 1,Men's Collection,650.00,325.00,RK-TSH-TM19-11W-0908,100% COTTON
MENS BASIC PANJABI-BLUE-1,Men's Collection,"1,590.00",NO Discount,SN-PANB-TM22-05F-10,100% COTTON
MENS BASIC PANJABI-PEACOCK BLUE,Men's Collection,"1,590.00",NO Discount,NA-PANB-TM22-05F-42,100% COTTON
MENS BASIC PANJABI-WHITE STAR PRINTED,Men's Collection,"1,590.00",NO Discount,SN-PANB-TM22-05F-11,100% COTTON
MENS BASIC PANJABI-BLUE STONE,Men's Collection,"2,690.00",NO Discount,PH-PANB-TM22-05F-16154,COTTON
MENS BASIC PANJABI-BLUE-1,Men's Collection,"1,590.00",NO Discount,NA-PANB-TM22-05F-42,100% COTTON
MENS BASIC PANJABI-WHITE BOX PRINTED,Men's Collection,"1,590.00",NO Discount,SN-PANB-TM22-05F-11,100% COTTON
MENS BASIC PANJABI-MAROON 1,Men's Collection,"1,690.00","1,183.00",PH-PANB-TM22-05F-15621,100% COTTON
MENS EMBROIDERY PANJABI-PURPLE PEANUT,Men's Collection,"2,690.00",NO Discount,JS-PANE-TM22-05F-15599,100% COTTON
MENS BASIC PANJABI-BLACK PRINT,Men's Collection,"1,590.00",NO Discount,PH-PANB-TM22-05F-08,100% COTTON
MENS KARCHUPI PANJABI-MAROON 1,Men's Collection,"2,490.00",NO Discount,SB-PANK-TM22-05F-0014,BLENDED
MENS PANJABI-ASH 1,Men's Collection,"1,590.00",NO Discount,NA-PANB-TM22-05F-56,BLENDED
MENS PANJABI-PARPLE,Men's Collection,"1,990.00",NO Discount,NA-PANB-TM22-05F-67,COTTON
MENS BASIC PANJABI-MUSTARD,Men's Collection,"2,490.00",NO Discount,HN-PANB-TM22-05F-103,COTTON
MENS T-SHIRT- CREAM,Men's Collection,490.00,245.00,RK-TSH-TM19-05F-0290,100% COTTON
MENS POLO-BORDEAUX,Men's Collection,"1,190.00",NO Discount,ZM-POL-TM22-02S-0046.,100% COTTON
MENS POLO-RED,Men's Collection,"1,190.00",NO Discount,ZM-POL-TM22-02S-0046.,100% COTTON
MENS TWILL PANT -BLACK,Men's Collection,"1,490.00",894.00,RK-CHN-TM20-04A-0485,98% COTTON & 2% ELASTANE
MENS WALLET-BLACK 1,Men's Collection,990.00,NO Discount,MR-WALL-TM22-05F-0004,LEATHER WALLET
MENS WALLET-BROWN 1,Men's Collection,990.00,NO Discount,MR-WALL-TM22-05F-0004,LEATHER WALLET
MENS CASUAL SHIRT- Multi Color,Men's Collection,"1,590.00",NO Discount,CL-SHTS-TM22-02F-0019,"100% COTTON,S/J,160 GSM"
MENS BASIC T-SHIRT,Men's Collection,490.00,245.00,,
MENS BASIC T-SHIRT,Men's Collection,390.00,195.00,PH-TSH-TM19-0062,100% COTTON
MENS BASIC PANJABI-WHITE 1,Men's Collection,"1,690.00",NO Discount,PH-PANB-TM22-05F-15619,100% COTTON
MENS BASIC PANJABI-YELLOW 1,Men's Collection,"1,690.00",NO Discount,PH-PANB-TM22-05F-15619,100% COTTON
MENS BASIC PANJABI-BLACK 1,Men's Collection,"2,190.00",NO Discount,JS-PANB-TM22-05F-15414,100% COTTON
MENS BASIC PANJABI-MAROON 1,Men's Collection,"2,190.00",NO Discount,JS-PANB-TM22-05F-15414,100% COTTON
MENS BASIC PANJABI-WHITE 1,Men's Collection,"2,190.00",NO Discount,JS-PANB-TM22-05F-15414,100% COTTON
MENS BASIC PANJABI-BLUE-1,Men's Collection,"2,190.00",NO Discount,<p>JS-PANB-TM22-05F-0263,100% COTTON
MENS BASIC PANJABI-WHITE 1,Men's Collection,"2,590.00",NO Discount,<p>JS-PANB-TM22-05F-15863,COTTON
MENS BASIC PANJABI-WHITE 2,Men's Collection,"2,590.00",NO Discount,JS-PANB-TM22-05F-15863,COTTON
MENS BASIC PANJABI-RED 1,Men's Collection,"2,290.00",NO Discount,JS-PANB-TM22-05F-15692,BLENDED
MENS BASIC PANJABI-COFFEE,Men's Collection,"1,690.00",NO Discount,PH-PANB-TM22-05F-16541,COTTON
MENS BASIC PANJABI-BROWN 1,Men's Collection,"1,690.00",NO Discount,PH-PANB-TM22-05F-16541,COTTON
MENS BASIC PANJABI- NAVY 1,Men's Collection,"2,690.00",NO Discount,PH-PANB-TM22-05F-16149,BLENDED
MENS EXCLUSIVE PANJABI,Men's Collection,"4,450.00","2,670.00",,
MENS CINO PANT,Men's Collection,"1,690.00","1,014.00",,
MENS CASUAL SHIRT,Men's Collection,"1,690.00",845.00,,
MENS CASUAL SHIRT,Men's Collection,"1,590.00",954.00,,
MENS DENIM PANT- DARK BLUE,Men's Collection,"1,990.00","1,393.00",AJ-DEN-TM21-03SS-0044.1,98% COTTON & 2% ELASTANE
MENS DENIM PANT- BLACK,Men's Collection,"1,990.00","1,393.00",ST-DEN-TM21-02SS-0028.2,98% COTTON & 2% ELASTANE
MENS DENIM PANT,Men's Collection,"1,990.00","1,393.00",AJ-DEN-TM21-03SS-0044.2,98% COTTON & 2% ELASTANE
MENS DENIM PANT-BLUE,Men's Collection,"1,990.00","1,393.00",ST-DEN-TM21-03SS-0039,98% COTTON & 2% ELASTANE
MENS DENIM PANT,Men's Collection,"1,990.00","1,393.00",ST-DEN-TM21-03SS-0058,98% COTTON & 2% ELASTANE
MENS CINO PANT,Men's Collection,"1,850.00","1,295.00",ST-TWI-TM21-035-0106,100% COTTON
MENS CASUAL SHIRT,Men's Collection,"1,590.00","1,113.00",CL-SHT-TM21-09AW-0181,100% COTTON
MENS CASUAL SHIRT,Men's Collection,"1,590.00","1,113.00",CL-SHT-TM21-09AW-0184,100% COTTON
MENS EMBROIDERY PANJABI-JAM,Men's Collection,"2,690.00",NO Discount,PH-PANE-TM22-05F-45,100% COTTON
MENS EMBROIDERY PANJABI-NAVY BLUE 1,Men's Collection,"1,890.00",NO Discount,<p>NA-PANB-TM22-05F-68,COTTON
MENS EMBROIDERY PANJABI-WHITE 1,Men's Collection,"1,890.00",NO Discount,<p>NA-PANB-TM22-05F-68,COTTON
MENS EMBROIDERY PANJABI-INDIGO 1,Men's Collection,"2,690.00",NO Discount,PH-PANE-TM22-05F-46,COTTON
MENS EMBROIDERY KABLI-WHITE,Men's Collection,"3,290.00",NO Discount,<p>PH-KABE-TM22-05F-18869,LINEN
MENS EMBROIDERY KABLI-PASTEL GREEN,Men's Collection,"3,290.00",NO Discount,<p>PH-KABE-TM22-05F-18869,LINEN
MENS KABLI,Men's Collection,"3,390.00","2,034.00",,
MENS FORMAL SHIRT,Men's Collection,"1,890.00","1,323.00",,
MENS FORMAL SHIRT,Men's Collection,"2,290.00","1,603.00",MT-FOS-TM21-05F-0197,100% COTTON
MENS FORMAL SHIRT,Men's Collection,"1,890.00","1,323.00",OT-FOS-TM21-05F-0247,100% COTTON
MENS LS SHIRT,Men's Collection,"1,690.00","1,183.00",ST-SHT-TM21-02F-0008,100% COTTON
MENS LS SHIRT,Men's Collection,"1,690.00","1,183.00",ST-SHT-TM21-02F-0010,100% COTTON
MENS LS SHIRT,Men's Collection,"1,690.00","1,183.00",ST-SHT-TM21-03SS-0071,100% COTTON
MENS KABLI-INK BLACK,Men's Collection,"3,090.00",NO Discount,JS-KAB-TM22-05F-14114,100% LINEN
MENS KABLI-NAVY BLUE 1,Men's Collection,"3,290.00",NO Discount,<p>SN-KAB-TM22-05F-17,LINEN
MENS FORMAL SHIRT-BLUE STRIPE,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS FORMAL SHIRT-GREEN WHITE CHECK,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS FORMAL SHIRT-LIGHT GREEN,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS FORMAL SHIRT-LIGHT PURPLE,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS FORMAL SHIRT-PURPLE STRIPE,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS FORMAL SHIRT-WHT PINK BULE,Men's Collection,"2,390.00",NO Discount,MT-FOS-TM22-05F-134,100% COTTON
MENS PANJABI,Men's Collection,"1,790.00","1,074.00",,
MENS PANJABI,Men's Collection,"1,990.00","1,194.00",,
MENS PANJABI,Men's Collection,"2,690.00","1,614.00",,
MENS PANJABI,Men's Collection,"1,990.00","1,194.00",,
MENS PANJABI,Men's Collection,"1,990.00","1,194.00",,
MENS PANJABI,Men's Collection,"1,790.00","1,074.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,014.00",,
MENS PANJABI,Men's Collection,"1,790.00","1,074.00",,
MENS PANJABI,Men's Collection,"1,590.00",954.00,,
MENS PANJABI,Men's Collection,"1,490.00",894.00,,
MENS PANJABI,Men's Collection,"1,690.00","1,183.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,183.00",,
MENS PANJABI,Men's Collection,"1,890.00","1,323.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,183.00",,
MENS PANJABI,Men's Collection,"1,990.00","1,393.00",,
MENS PANJABI,Men's Collection,"1,990.00","1,393.00",,
MENS PANJABI,Men's Collection,"1,890.00","1,134.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,014.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,014.00",,
MENS PANJABI,Men's Collection,"1,690.00","1,014.00",,
MENS PANJABI,Men's Collection,"1,590.00",954.00,,
MENS PANJABI,Men's Collection,"1,890.00","1,134.00",,
MENS PANJABI,Men's Collection,"1,790.00","1,074.00",,
MENS PANJABI,Men's Collection,"1,590.00",954.00,,
MENS PANJABI,Men's Collection,"1,690.00","1,014.00",,
MENS LS T-SHIRT,Men's Collection,990.00,NO Discount,ST-FTSH-TM21-09AW-0107,100% COTTON
MENS LS T-SHIRT,Men's Collection,990.00,NO Discount,ST-FTSH-TM21-09AW-0119,"95% COTTON, 5% ELASTANE"
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ZM-FTSH-TM21-09AW-0078,100% COTTON
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ZM-FTSH-TM21-09AW-0086,100% COTTON
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ST-FTSH-TM21-09AW-0140,100% COTTON
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ST-FTSH-TM21-09AW- 0107,100% COTTON
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ST-FTSH-TM21-09AW-0153,100% COTTON
MENS LS T-SHIRT,Men's Collection,890.00,NO Discount,ST-FTSH-TM21-09AW-0136,100% COTTON
MENS PANJABI,Men's Collection,"2,390.00","1,673.00",,
